,0
0,14.254658385093167
1,1.8909090909090909
2,0.4256046814044213
3,0.15
4,0.6342679127725857
5,9.2
6,9.832697547683924
7,30.0
8,50.0
9,39.008849557522126
10,0.0
11,67.58571428571429
12,2.0677966101694913
13,2.0625
14,79.9997221450403
15,79.0
16,1.8
17,0.9
18,13.254658385093167
19,1.8909090909090909
20,0.38560468140442133
21,0.12
22,1.7342679127725855
23,6.9
24,8.632697547683923
25,23.0
26,35.0
27,35.008849557522126
28,0.0
29,73.58571428571429
30,1.6677966101694917
31,1.9625
32,75.9997221450403
33,55.0
34,0.6
35,0.3
36,12.254658385093167
37,1.8909090909090909
38,0.31560468140442133
39,0.06
40,1.5342679127725858
41,3.8
42,5.332697547683924
43,28.0
44,12.0
45,28.008849557522122
46,0.0
47,72.58571428571429
48,1.4677966101694915
49,1.8625
50,105.9997221450403
51,116.0
52,2.5
53,1.9
54,12.254658385093167
55,1.8909090909090909
56,0.4856046814044213
57,0.13
58,2.234267912772586
59,7.8
60,9.932697547683924
61,22.0
62,2.0
63,20.008849557522122
64,0.0
65,72.58571428571429
66,1.6677966101694917
67,1.9625
68,103.9997221450403
69,94.0
70,2.0
71,2.0
72,17.25465838509317
73,1.8909090909090909
74,0.7556046814044213
75,0.23
76,7.934267912772586
77,21.0
78,29.032697547683924
79,29.0
80,38.0
81,30.008849557522122
82,0.0
83,55.58571428571429
84,15.067796610169491
85,2.0625
86,45.99972214504029
87,153.0
88,0.8
89,0.3
90,22.25465838509317
91,1.8909090909090909
92,0.5356046814044213
93,0.18
94,2.9342679127725857
95,11.0
96,14.032697547683924
97,58.0
98,64.0
99,44.008849557522126
100,0.0
101,36.58571428571429
102,2.7677966101694915
103,2.0625
104,279.99972214504027
105,269.0
106,1.9
107,1.2
108,22.25465838509317
109,1.8909090909090909
110,0.41560468140442136
111,0.11
112,3.034267912772586
113,12.0
114,15.032697547683924
115,57.0
116,57.0
117,37.008849557522126
118,0.0
119,41.58571428571429
120,3.6677966101694914
121,1.9625
122,304.99972214504027
123,316.0
124,3.3
125,2.6
126,22.25465838509317
127,1.8909090909090909
128,0.38560468140442133
129,0.13
130,2.234267912772586
131,11.0
132,13.032697547683924
133,64.0
134,51.0
135,45.008849557522126
136,0.0
137,48.58571428571429
138,4.467796610169492
139,1.9625
140,303.99972214504027
141,305.0
142,2.2
143,2.1
144,19.25465838509317
145,1.8909090909090909
146,0.7056046814044212
147,0.23
148,2.3342679127725856
149,28.0
150,30.032697547683924
151,34.0
152,85.0
153,49.008849557522126
154,0.0
155,66.58571428571429
156,5.167796610169491
157,2.1625
158,123.9997221450403
159,124.0
160,2.2
161,1.0
