id,value
id_0,25.7082821096
id_1,64.4370351247
id_2,19.1492150292
id_3,28.8384319714
id_4,9.24570626881
id_5,31.3178461012
id_6,41.3595934655
id_7,17.0402430096
id_8,51.5114766649
id_9,32.3529741509
id_10,37.9819380014
id_11,58.957126651
id_12,35.631156364
id_13,39.8814944657
id_14,28.3570664297
id_15,12.7404024156
id_16,51.6828174962
id_17,22.9870638401
id_18,16.6031673525
id_19,18.3341344287
id_20,15.9293692818
id_21,30.3973745032
id_22,39.4185140928
id_23,10.4941422333
id_24,61.7341694523
id_25,46.0977821777
id_26,27.6199685003
id_27,7.16866291781
id_28,29.5211164953
id_29,36.1113435891
id_30,18.1341063086
id_31,11.8245116146
id_32,17.1677776817
id_33,8.15923508689
id_34,15.9038093206
id_35,43.1879721148
id_36,22.7510763157
id_37,28.1067573783
id_38,5.99491926718
id_39,58.5078224794
id_40,46.8486302066
id_41,20.8824837464
id_42,53.505619952
id_43,18.7324482375
id_44,44.5989186792
id_45,49.1516797884
id_46,58.4277743553
id_47,40.9314008979
id_48,55.5051464499
id_49,39.5113579252
id_50,30.8976717549
id_51,23.6296855761
id_52,40.5418074578
id_53,24.8238024577
id_54,37.3555537816
id_55,38.2977632026
id_56,25.0617574733
id_57,21.7366166191
id_58,35.3701489845
id_59,32.9732680374
id_60,11.9952518708
id_61,22.5665228745
id_62,31.7772485969
id_63,53.065514014
id_64,50.1074929079
id_65,26.3440540061
id_66,38.09139517
id_67,52.5974258772
id_68,29.6389933019
id_69,39.5874048114
id_70,64.5256673785
id_71,54.76283411
id_72,41.7255702075
id_73,14.5214170616
id_74,13.8627134226
id_75,35.2994046343
id_76,62.8108987218
id_77,2.22314859786
id_78,41.1447208537
id_79,42.098365376
id_80,8.55615495844
id_81,21.3835473216
id_82,5.8809479563
id_83,31.1888996318
id_84,8.44894803825
id_85,5.01639794289
id_86,16.985097213
id_87,10.8171949743
id_88,19.2085797624
id_89,23.0160159909
id_90,35.1715900894
id_91,11.4000975368
id_92,11.7229761721
id_93,10.3622644734
id_94,37.2922698351
id_95,15.3328766071
id_96,16.9824352525
id_97,9.28336202459
id_98,10.905483532
id_99,4.25770775143
id_100,10.4296415144
id_101,18.5729964983
id_102,11.7588930485
id_103,8.75471647543
id_104,12.885281003
id_105,36.6470708719
id_106,24.51623552
id_107,8.32465617872
id_108,17.0240778283
id_109,15.5785797239
id_110,11.9007862761
id_111,15.6243851324
id_112,16.6153572982
id_113,25.1620393927
id_114,19.4508892933
id_115,16.1262932853
id_116,7.77897761971
id_117,45.2422225475
id_118,26.3247904397
id_119,0.593282951034
id_120,-0.228332480435
id_121,10.3154496045
id_122,12.6010542928
id_123,11.8210100561
id_124,7.05191506179
id_125,25.2974735625
id_126,22.8442403271
id_127,9.34423201519
id_128,19.7016995572
id_129,12.8298239121
id_130,-0.507834152297
id_131,32.2282846237
id_132,15.1202051896
id_133,20.7571779618
id_134,26.3577816587
id_135,24.6854439113
id_136,9.98281009883
id_137,22.0922665343
id_138,78.4599679125
id_139,61.737645884
id_140,27.4510539464
id_141,18.565712321
id_142,24.6241771288
id_143,7.67997209663
id_144,13.9233329894
id_145,9.62084760376
id_146,19.9567529063
id_147,7.49298346999
id_148,12.6921851372
id_149,15.8443936673
id_150,46.2144173656
id_151,20.5525518886
id_152,22.0544761024
id_153,14.1456289125
id_154,14.0571059986
id_155,24.223086337
id_156,24.6156681755
id_157,36.7416397426
id_158,3.89720099365
id_159,22.9769129
id_160,41.061100177
id_161,19.2543354828
id_162,61.5029077933
id_163,16.7867292317
id_164,33.9645959729
id_165,24.3932990034
id_166,22.7823777029
id_167,0.316042940785
id_168,67.8692355354
id_169,14.7105074709
id_170,15.7307737031
id_171,71.0746611803
id_172,20.1556141505
id_173,1.92581625663
id_174,23.5547741315
id_175,-0.877359876377
id_176,8.2811884229
id_177,17.5885384722
id_178,21.3251264322
id_179,24.7079155356
id_180,43.0764952409
id_181,33.2391012261
id_182,29.2652809547
id_183,13.6399217396
id_184,7.19097909404
id_185,42.2144547367
id_186,36.349860269
id_187,33.9368739867
id_188,16.4924331598
id_189,24.4410050139
id_190,14.7288783085
id_191,15.1391690499
id_192,30.5783481155
id_193,72.1640094717
id_194,30.992005358
id_195,10.881706962
id_196,62.7958616297
id_197,16.7852223464
id_198,20.5161916818
id_199,20.9729864365
id_200,123.45975454
id_201,22.8095550875
id_202,58.4468223722
id_203,5.02376561257
id_204,59.8383865377
id_205,35.5049579147
id_206,15.4788477002
id_207,14.3995495914
id_208,61.4156857258
id_209,14.3165262454
id_210,37.9658311392
id_211,67.9978168781
id_212,19.109005396
id_213,113.580127454
id_214,40.7393088544
id_215,76.95781814
id_216,91.1375916608
id_217,71.6181564952
id_218,30.1002536114
id_219,19.9081234345
id_220,30.3885476303
id_221,57.0227381689
id_222,26.5156935636
id_223,38.4852771243
id_224,43.0607622139
id_225,10.1318671065
id_226,5.65509565566
id_227,80.8936575461
id_228,30.2138396876
id_229,1.10416474199
id_230,40.649372093
id_231,15.4939351966
id_232,22.4425456342
id_233,7.65134371835
id_234,15.1800641582
id_235,25.5234085037
id_236,14.2742108025
id_237,2.72308649237
id_238,22.7767036119
id_239,13.2413757318
